n_neighbors,contamination,threshold,precision,recall,f1,f2,roc_auc,pr_auc,false_negatives,false_positives,true_negatives,true_positives,alert_rate
25,0.03,-0.05936536228425404,0.5165217391304348,0.8048780487804879,0.6292372881355932,0.7240370550950754,0.900409730287779,0.6336644673796765,72,278,2242,297,0.199030806507442
25,0.05,-0.03276479587903869,0.5165217391304348,0.8048780487804879,0.6292372881355932,0.7240370550950754,0.900409730287779,0.6336644673796765,72,278,2242,297,0.199030806507442
25,0.08,-0.011421791465251685,0.5165217391304348,0.8048780487804879,0.6292372881355932,0.7240370550950754,0.900409730287779,0.6336644673796765,72,278,2242,297,0.199030806507442
25,0.12,0.0073609524771725,0.5165217391304348,0.8048780487804879,0.6292372881355932,0.7240370550950754,0.900409730287779,0.6336644673796765,72,278,2242,297,0.199030806507442
25,0.16,0.019993134538686563,0.5165217391304348,0.8048780487804879,0.6292372881355932,0.7240370550950754,0.900409730287779,0.6336644673796765,72,278,2242,297,0.199030806507442
25,0.2,0.02907203117024748,0.5165217391304348,0.8048780487804879,0.6292372881355932,0.7240370550950754,0.900409730287779,0.6336644673796765,72,278,2242,297,0.199030806507442
35,0.03,-0.05921434900663036,0.5318761384335154,0.7913279132791328,0.6361655773420479,0.7209876543209877,0.9001043145352089,0.6426116110525053,77,257,2263,292,0.19003115264797507
35,0.05,-0.0303928872660999,0.5318761384335154,0.7913279132791328,0.6361655773420479,0.7209876543209877,0.9001043145352089,0.6426116110525053,77,257,2263,292,0.19003115264797507
35,0.08,-0.007622676558396657,0.5318761384335154,0.7913279132791328,0.6361655773420479,0.7209876543209877,0.9001043145352089,0.6426116110525053,77,257,2263,292,0.19003115264797507
35,0.12,0.010632119355999281,0.5318761384335154,0.7913279132791328,0.6361655773420479,0.7209876543209877,0.9001043145352089,0.6426116110525053,77,257,2263,292,0.19003115264797507
35,0.16,0.023157745282249786,0.5318761384335154,0.7913279132791328,0.6361655773420479,0.7209876543209877,0.9001043145352089,0.6426116110525053,77,257,2263,292,0.19003115264797507
35,0.2,0.03186862062422979,0.5318761384335154,0.7913279132791328,0.6361655773420479,0.7209876543209877,0.9001043145352089,0.6426116110525053,77,257,2263,292,0.19003115264797507
75,0.03,-0.07809858861721852,0.5562015503875969,0.7777777777777778,0.6485875706214689,0.7203815261044176,0.8974824708564545,0.668402160830457,82,229,2291,287,0.1786085150571132
75,0.05,-0.03876526473090025,0.5562015503875969,0.7777777777777778,0.6485875706214689,0.7203815261044176,0.8974824708564545,0.668402160830457,82,229,2291,287,0.1786085150571132
75,0.08,-0.0026410836124115544,0.5562015503875969,0.7777777777777778,0.6485875706214689,0.7203815261044176,0.8974824708564545,0.668402160830457,82,229,2291,287,0.1786085150571132
75,0.12,0.018593827878938596,0.5562015503875969,0.7777777777777778,0.6485875706214689,0.7203815261044176,0.8974824708564545,0.668402160830457,82,229,2291,287,0.1786085150571132
75,0.16,0.030612101383798773,0.5562015503875969,0.7777777777777778,0.6485875706214689,0.7203815261044176,0.8974824708564545,0.668402160830457,82,229,2291,287,0.1786085150571132
75,0.2,0.03975162620543626,0.5562015503875969,0.7777777777777778,0.6485875706214689,0.7203815261044176,0.8974824708564545,0.668402160830457,82,229,2291,287,0.1786085150571132
50,0.03,-0.07068275075826591,0.5094991364421416,0.7994579945799458,0.6223628691983122,0.7177615571776156,0.8962349980642663,0.6546191311055949,74,284,2236,295,0.20041536863966772
50,0.05,-0.038975810847537984,0.5094991364421416,0.7994579945799458,0.6223628691983122,0.7177615571776156,0.8962349980642663,0.6546191311055949,74,284,2236,295,0.20041536863966772
50,0.08,-0.014925140221851319,0.5094991364421416,0.7994579945799458,0.6223628691983122,0.7177615571776156,0.8962349980642663,0.6546191311055949,74,284,2236,295,0.20041536863966772
50,0.12,0.004027115987291996,0.5094991364421416,0.7994579945799458,0.6223628691983122,0.7177615571776156,0.8962349980642663,0.6546191311055949,74,284,2236,295,0.20041536863966772
50,0.16,0.015754649265865117,0.5094991364421416,0.7994579945799458,0.6223628691983122,0.7177615571776156,0.8962349980642663,0.6546191311055949,74,284,2236,295,0.20041536863966772
50,0.2,0.02494293716525542,0.5094991364421416,0.7994579945799458,0.6223628691983122,0.7177615571776156,0.8962349980642663,0.6546191311055949,74,284,2236,295,0.20041536863966772
15,0.03,-0.06353701723930794,0.4827586206896552,0.7967479674796748,0.6012269938650306,0.7050359712230216,0.8929130640512754,0.600207771681139,75,315,2205,294,0.21079958463136034
15,0.05,-0.037609880607995416,0.4827586206896552,0.7967479674796748,0.6012269938650306,0.7050359712230216,0.8929130640512754,0.600207771681139,75,315,2205,294,0.21079958463136034
15,0.08,-0.015391351993747193,0.4827586206896552,0.7967479674796748,0.6012269938650306,0.7050359712230216,0.8929130640512754,0.600207771681139,75,315,2205,294,0.21079958463136034
15,0.12,0.005002327499135761,0.4827586206896552,0.7967479674796748,0.6012269938650306,0.7050359712230216,0.8929130640512754,0.600207771681139,75,315,2205,294,0.21079958463136034
15,0.16,0.01746315952071731,0.4827586206896552,0.7967479674796748,0.6012269938650306,0.7050359712230216,0.8929130640512754,0.600207771681139,75,315,2205,294,0.21079958463136034
15,0.2,0.02757310293319226,0.4827586206896552,0.7967479674796748,0.6012269938650306,0.7050359712230216,0.8929130640512754,0.600207771681139,75,315,2205,294,0.21079958463136034
